Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,5,,,87504,Fletcher Ibser,4,Statistics,133,001,A,Letter Grade,A+,Computing Data
1,4,,,87516,Deborah Nolan,4,Statistics,133,002,A,Letter Grade,A+,Computing Data
2,11,,,87504,Fletcher Ibser,4,Statistics,133,001,A,Letter Grade,A,Computing Data
2,31,,,87516,Deborah Nolan,4,Statistics,133,002,A,Letter Grade,A,Computing Data
3,10,,,87504,Fletcher Ibser,3.7,Statistics,133,001,A,Letter Grade,A-,Computing Data
3,17,,,87516,Deborah Nolan,3.7,Statistics,133,002,A,Letter Grade,A-,Computing Data
4,11,,,87504,Fletcher Ibser,3.3,Statistics,133,001,B,Letter Grade,B+,Computing Data
4,14,,,87516,Deborah Nolan,3.3,Statistics,133,002,B,Letter Grade,B+,Computing Data
5,10,,,87504,Fletcher Ibser,3,Statistics,133,001,B,Letter Grade,B,Computing Data
5,12,,,87516,Deborah Nolan,3,Statistics,133,002,B,Letter Grade,B,Computing Data
6,4,,,87504,Fletcher Ibser,2.7,Statistics,133,001,B,Letter Grade,B-,Computing Data
7,6,,,87504,Fletcher Ibser,2.3,Statistics,133,001,C,Letter Grade,C+,Computing Data
8,2,,,87504,Fletcher Ibser,2,Statistics,133,001,C,Letter Grade,C,Computing Data
8,2,,,87516,Deborah Nolan,2,Statistics,133,002,C,Letter Grade,C,Computing Data
9,2,,,87504,Fletcher Ibser,1.7,Statistics,133,001,C,Letter Grade,C-,Computing Data
11,2,,,87504,Fletcher Ibser,1,Statistics,133,001,D,Letter Grade,D,Computing Data
11,1,,,87516,Deborah Nolan,1,Statistics,133,002,D,Letter Grade,D,Computing Data
13,3,,,87504,Fletcher Ibser,0,Statistics,133,001,F,Letter Grade,F,Computing Data
13,1,,,87516,Deborah Nolan,0,Statistics,133,002,F,Letter Grade,F,Computing Data
22,4,,,87504,Fletcher Ibser,,Statistics,133,001,Credit,Non-Letter Grade,Pass,Computing Data
27,1,,,87516,Deborah Nolan,,Statistics,133,002,No Credit,Non-Letter Grade,Not Pass,Computing Data
30,1,,,87504,Fletcher Ibser,,Statistics,133,001,Administrative Code,Administrative Code,Incomplete,Computing Data
